Root,Root,Root,Root,Hips,Hips,Hips,Hips,LeftThigh,LeftThigh,LeftThigh,LeftThigh,LeftShin,LeftShin,LeftShin,LeftShin,LeftFoot,LeftFoot,LeftFoot,LeftFoot,LeftToe,LeftToe,LeftToe,LeftToe,RightThigh,RightThigh,RightThigh,RightThigh,RightShin,RightShin,RightShin,RightShin,RightFoot,RightFoot,RightFoot,RightFoot,RightToe,RightToe,RightToe,RightToe,Spine1,Spine1,Spine1,Spine1,Spine2,Spine2,Spine2,Spine2,Spine3,Spine3,Spine3,Spine3,Spine4,Spine4,Spine4,Spine4,LeftShoulder,LeftShoulder,LeftShoulder,LeftShoulder,LeftArm,LeftArm,LeftArm,LeftArm,LeftForeArm,LeftForeArm,LeftForeArm,LeftForeArm,LeftHand,LeftHand,LeftHand,LeftHand,Neck,Neck,Neck,Neck,Head,Head,Head,Head,RightShoulder,RightShoulder,RightShoulder,RightShoulder,RightArm,RightArm,RightArm,RightArm,RightForeArm,RightForeArm,RightForeArm,RightForeArm,RightHand,RightHand,RightHand,RightHand
1,0,0,0,0.999804825,0.008457352,-0.017854555,0,-0.001643003,0.013259321,-0.999910741,0,0.993551822,0.113378909,-3.02E-07,0,0.126312469,-0.983527627,0.129300298,0,1,5.97E-08,-2.97E-08,0,-0.051757223,-0.009342444,0.998615997,0,0.992500578,-0.122239522,0.000318819,0,0.104759197,0.988445378,-0.109550192,0,1,-1.79E-07,2.95E-08,0,-0.999991067,0.003395197,-0.002517728,0,0.999991066,-0.003395315,0.002517967,0,0.999991012,-0.003405466,0.00252553,0,1,0,0,0,-0.010654251,0.972054537,-0.234513249,0,0.018146619,0.999151525,-0.036972027,0,0.9711661,-0.148083108,-0.186836291,0,0.958971407,-0.075575755,-0.273243748,0,0.999288724,-0.020783756,0.031465571,0,0.999288723,-0.020783757,0.031465583,0,-0.027578113,-0.966201776,0.256307582,0,-0.027721893,-0.995528375,0.090303665,0,0.977422431,0.13325923,0.163973682,0,0.977422431,0.13325923,0.163973682,0
1,0,0,0,0.999764715,0.009309882,-0.019591872,0,-0.001448568,0.013220642,-0.999911554,0,0.993485223,0.113961007,0,0,0.127462276,-0.983364977,0.129409006,0,1,1.19E-07,-2.96E-08,0,-0.051276489,-0.009207421,0.998642051,0,0.992810366,-0.119697549,0.000272556,0,0.10227077,0.988938019,-0.107435021,0,1,1.49E-07,5.99E-08,0,-0.999991614,0.003282703,-0.002448491,0,0.999991613,-0.003282908,0.002448673,0,0.999991563,-0.003292727,0.002456021,0,1,0,0,0,-0.009737362,0.972194586,-0.233971943,0,0.016832778,0.999152596,-0.037559913,0,0.971095742,-0.147874384,-0.187366555,0,0.958871117,-0.077077998,-0.273176067,0,0.99923502,-0.022510129,0.031979182,0,0.999235021,-0.02251012,0.031979162,0,-0.030179575,-0.965909104,0.25711631,0,-0.028221594,-0.995383144,0.091738426,0,0.977531698,0.133453777,0.163162093,0,0.977531698,0.133453777,0.163162093,0
1,0,0,0,0.999731929,0.009991932,-0.02088615,0,-0.00291024,0.013323389,-0.999907005,0,0.993557075,0.113332869,2.35E-07,0,0.129342458,-0.983157147,0.129122243,0,1,-2.98E-08,0,0,-0.050743184,-0.008979001,0.998671371,0,0.993148463,-0.116859426,7.58E-05,0,0.099838503,0.98946128,-0.104874439,0,1,2.09E-10,-5.96E-08,0,-0.999990761,0.00323427,-0.002831456,0,0.99999076,-0.003234344,0.002831634,0,0.999990705,-0.003244021,0.002840135,0,1,0,0,0,-0.009463419,0.972030918,-0.23466218,0,0.01708144,0.999136858,-0.037865065,0,0.970884888,-0.145242824,-0.190491617,0,0.959570725,-0.080303868,-0.269768998,0,0.999212498,-0.023352416,0.032078784,0,0.999212504,-0.023352402,0.032078624,0,-0.031623144,-0.965977099,0.256687011,0,-0.027778521,-0.995331284,0.092433704,0,0.977588411,0.133808807,0.162530308,0,0.977588411,0.133808807,0.162530308,0
1,0,0,0,0.999683025,0.01046471,-0.022898444,0,-0.002899422,0.014123709,-0.999896052,0,0.993406809,0.114642541,6.09E-08,0,0.129599848,-0.983157554,0.128860787,0,1,-5.94E-08,-8.95E-08,0,-0.049474817,-0.007895945,0.99874416,0,0.993110586,-0.117180686,0.000226342,0,0.096088559,0.990208904,-0.101258651,0,1,-2.96E-08,-8.95E-08,0,-0.999990713,0.002946376,-0.003145181,0,0.999990713,-0.002946598,0.003145046,0,0.999990657,-0.002955421,0.003154486,0,1,0,0,0,-0.006761493,0.9719487,-0.235095741,0,0.016206064,0.999198231,-0.036609537,0,0.971032434,-0.144294541,-0.190460226,0,0.959910572,-0.080807327,-0.268406166,0,0.999190387,-0.024212198,0.032130048,0,0.999190382,-0.024212201,0.032130193,0,-0.033127233,-0.965974618,0.256506575,0,-0.028038761,-0.995308804,0.092597044,0,0.977304403,0.134831126,0.163391164,0,0.977304403,0.134831126,0.163391164,0
1,0,0,0,0.999644146,0.010444715,-0.024545669,0,-0.002510261,0.015801705,-0.999871994,0,0.993397891,0.114719793,-4.15E-07,0,0.129816096,-0.983211998,0.128226163,0,1,-8.96E-08,1.19E-07,0,-0.050259486,-0.006195852,0.998716975,0,0.992868965,-0.119210491,0.000277442,0,0.094382982,0.990474904,-0.10025626,0,1,2.98E-08,-2.98E-08,0,-0.999991187,0.002592302,-0.003302311,0,0.999991188,-0.002592316,0.003302089,0,0.999991135,-0.002600084,0.00331199,0,1,0,0,0,-0.005698646,0.971792259,-0.235769657,0,0.016152952,0.999191436,-0.036817892,0,0.971167772,-0.14398866,-0.190001117,0,0.960261278,-0.08115543,-0.267043205,0,0.999181827,-0.024786876,0.031957595,0,0.999181826,-0.024786884,0.031957599,0,-0.034116555,-0.965988391,0.256324967,0,-0.029721426,-0.995252097,0.092681712,0,0.977135177,0.13575182,0.163640731,0,0.977135177,0.13575182,0.163640731,0
1,0,0,0,0.999611752,0.009785373,-0.026088171,0,-0.004015677,0.018121584,-0.999827726,0,0.993460982,0.11417214,-5.93E-08,0,0.132536718,-0.983013352,0.126959709,0,1,-1.79E-07,-3.01E-08,0,-0.050329309,-0.003939245,0.998724909,0,0.992386536,-0.123162099,0.000247303,0,0.091936578,0.990538777,-0.101885213,0,1,-2.97E-08,-5.96E-08,0,-0.999991401,0.002104455,-0.003573422,0,0.999991401,-0.002104588,0.003573379,0,0.999991349,-0.002110898,0.003584094,0,1,0,0,0,-0.004702202,0.971644744,-0.236398775,0,0.017995632,0.99915086,-0.03706369,0,0.971525006,-0.142442153,-0.189339367,0,0.960445028,-0.080787889,-0.266493275,0,0.999197274,-0.025194118,0.031145851,0,0.999197275,-0.025194132,0.031145811,0,-0.03396572,-0.96630942,0.25513219,0,-0.029942156,-0.995270434,0.09241337,0,0.977428328,0.134727443,0.162734078,0,0.977428328,0.134727443,0.162734078,0
1,0,0,0,0.999576171,0.009628427,-0.027473105,0,-0.00454543,0.01912773,-0.999806716,0,0.993449727,0.114270032,2.95E-07,0,0.132851242,-0.983108798,0.125887402,0,1,-5.94E-08,-1.19E-07,0,-0.047957674,-0.002724409,0.998845653,0,0.992197739,-0.124674132,8.10E-05,0,0.087886835,0.990895963,-0.101985756,0,1,8.93E-08,5.97E-08,0,-0.999989379,0.001732939,-0.004270629,0,0.999989378,-0.001733251,0.004270911,0,0.999989314,-0.001738453,0.004283709,0,1,0,0,0,-0.003076132,0.971386771,-0.237483216,0,0.017722627,0.999117498,-0.038080616,0,0.971503152,-0.140736893,-0.190721664,0,0.961103583,-0.084195381,-0.2630419,0,0.999245432,-0.025713548,0.029109794,0,0.999245433,-0.025713535,0.029109784,0,-0.036080024,-0.966553026,0.253916285,0,-0.030214983,-0.995102513,0.094117174,0,0.977669744,0.13440788,0.161543782,0,0.977669744,0.13440788,0.161543782,0
1,0,0,0,0.999547953,0.010255084,-0.028261699,0,-0.005498541,0.01907023,-0.999803027,0,0.993029212,0.117868508,9.60E-07,0,0.132903763,-0.982999012,0.126686748,0,1,-1.49E-07,-5.99E-08,0,-0.046763196,-0.002582036,0.998902666,0,0.992268297,-0.124111342,-4.15E-05,0,0.085154214,0.991391862,-0.099453182,0,1,-8.94E-08,-2.99E-08,0,-0.999987343,0.001837176,-0.004683934,0,0.999987342,-0.001837212,0.004684088,0,0.999987266,-0.001842732,0.004698101,0,1,0,0,0,-0.002229372,0.971177202,-0.238348215,0,0.016140983,0.999170722,-0.037380964,0,0.971467906,-0.139731712,-0.191638087,0,0.96140304,-0.086540324,-0.261179951,0,0.999279523,-0.026375019,0.02729089,0,0.999279523,-0.026375003,0.027290904,0,-0.036164389,-0.966838609,0.252814638,0,-0.02970566,-0.99509556,0.094352532,0,0.977690021,0.134782383,0.161108451,0,0.977690021,0.134782383,0.161108451,0
1,0,0,0,0.999521142,0.010433736,-0.02913116,0,-0.004920804,0.020299334,-0.999781838,0,0.992720579,0.120440244,5.42E-07,0,0.131410153,-0.98323047,0.126448466,0,1,-2.96E-08,-1.19E-07,0,-0.045907466,-0.001179491,0.998945,0,0.991913442,-0.126916204,1.74E-05,0,0.082403251,0.991875197,-0.096919027,0,1,-1.78E-11,5.96E-08,0,-0.99998662,0.001652967,-0.004901753,0,0.99998662,-0.001653153,0.004901653,0,0.99998654,-0.001658132,0.004916316,0,1,0,0,0,-0.001048628,0.971154431,-0.238449097,0,0.016160879,0.999218578,-0.036070208,0,0.971295965,-0.139737792,-0.192503239,0,0.961864503,-0.088335021,-0.258869856,0,0.999283415,-0.027440168,0.02607094,0,0.999283413,-0.02744018,0.026070994,0,-0.036464341,-0.967001462,0.25214782,0,-0.029498195,-0.995065327,0.094735698,0,0.977585188,0.135941687,0.160770205,0,0.977585188,0.135941687,0.160770205,0
1,0,0,0,0.999495848,0.013401432,-0.028782848,0,-0.009117998,0.020328211,-0.999751782,0,0.990375554,0.138406149,1.43E-06,0,0.133186056,-0.982315334,0.131598095,0,1,-2.38E-07,2.94E-08,0,-0.04277472,-0.00087943,0.999084356,0,0.991986766,-0.126341819,-4.01E-05,0,0.07859193,0.992520385,-0.093416237,0,1,5.96E-08,2.98E-08,0,-0.999978221,0.002319279,-0.006178913,0,0.999978221,-0.002319473,0.006178851,0,0.999978091,-0.002326444,0.006197266,0,1,0,0,0,-8.01E-05,0.970490623,-0.241138848,0,0.015643537,0.999275042,-0.034708363,0,0.970913174,-0.140189495,-0.194099239,0,0.962841332,-0.091449536,-0.254113264,0,0.999264016,-0.029191593,0.024885271,0,0.999264018,-0.029191587,0.024885223,0,-0.040499331,-0.966977331,0.251624018,0,-0.02882446,-0.9947029,0.098667583,0,0.977474232,0.137709709,0.159937994,0,0.977474232,0.137709709,0.159937994,0
